,datetime,open,high,low,close
1607,2025-01-18 04:52:00,1.0281,1.02813,1.02787,1.02797
1608,2025-01-18 04:53:00,1.02795,1.02815,1.02791,1.02808
1609,2025-01-18 04:54:00,1.02809,1.02818,1.02797,1.02806
1610,2025-01-18 04:55:00,1.02807,1.0281,1.02791,1.02806
1611,2025-01-18 04:56:00,1.02805,1.02808,1.02795,1.02799
1612,2025-01-18 04:57:00,1.028,1.0282,1.02796,1.02816
1613,2025-01-18 04:58:00,1.02818,1.0283,1.02804,1.02818
1614,2025-01-18 04:59:00,1.02817,1.02823,1.02804,1.02809
1615,2025-01-18 05:00:00,1.0281,1.02813,1.02791,1.02795
1616,2025-01-18 05:01:00,1.02797,1.02806,1.0279,1.02796
1617,2025-01-18 05:02:00,1.02795,1.02802,1.02791,1.02798
1618,2025-01-18 05:03:00,1.02796,1.02836,1.02788,1.02833
1619,2025-01-18 05:04:00,1.02832,1.02836,1.02813,1.02827
1620,2025-01-18 05:05:00,1.02826,1.02834,1.02808,1.02811
1621,2025-01-18 05:06:00,1.02812,1.0282,1.02802,1.02807
1622,2025-01-18 05:07:00,1.02806,1.02815,1.02798,1.02811
1623,2025-01-18 05:08:00,1.02812,1.02819,1.028,1.02808
1624,2025-01-18 05:09:00,1.02803,1.02813,1.028,1.02808
1625,2025-01-18 05:10:00,1.02809,1.02823,1.02805,1.0282
1626,2025-01-18 05:11:00,1.02821,1.02835,1.02813,1.0283
1627,2025-01-18 05:12:00,1.02831,1.02834,1.02813,1.02825
1628,2025-01-18 05:13:00,1.02824,1.02835,1.02815,1.02821
1629,2025-01-18 05:14:00,1.0282,1.02843,1.02817,1.02837
1630,2025-01-18 05:15:00,1.02836,1.02853,1.02829,1.02847
1631,2025-01-18 05:16:00,1.02848,1.02853,1.02831,1.02834
1632,2025-01-18 05:17:00,1.02835,1.02851,1.02832,1.02847
1633,2025-01-18 05:18:00,1.02846,1.0287,1.02843,1.02867
1634,2025-01-18 05:19:00,1.02868,1.02888,1.02864,1.02884
1635,2025-01-18 05:20:00,1.02885,1.02901,1.02879,1.02898
1636,2025-01-18 05:21:00,1.02897,1.02916,1.0288,1.02911
1637,2025-01-18 05:22:00,1.02912,1.02925,1.029,1.02903
1638,2025-01-18 05:23:00,1.02902,1.02905,1.02883,1.02887
1639,2025-01-18 05:24:00,1.02885,1.02893,1.02877,1.02887
1640,2025-01-18 05:25:00,1.02885,1.02888,1.02866,1.02873
1641,2025-01-18 05:26:00,1.02872,1.02883,1.02869,1.02879
1642,2025-01-18 05:27:00,1.02877,1.02881,1.02864,1.02867
